ort,cc,place_type,attractiveness_score,state_name
Fiñana,ES,village,83,Andalusia
Littlefield,US,small_town,83,Texas
Clearwater,US,medium_town,83,Florida
Bulancak,TR,medium_town,83,Giresun
Araklı,TR,medium_town,83,Trabzon
Kavarna,BG,small_town,83,Dobrich
Båstad,SE,small_town,83,Skåne County
Dragør,DK,small_town,83,Capital
Crescent City,US,small_town,83,California
Battle Mountain,US,village,83,Nevada
Castril,ES,village,83,Andalusia
Hoek van Holland Beach,NL,beach,83,South Holland
Conrad,US,village,83,Montana
Kolašin,ME,village,83,Kolašin Municipality
Mojkovac,ME,village,83,Mojkovac Municipality
Indianapolis,US,city,83,Indiana
Igüeña,ES,village,83,Castile and León
Llamas de la Ribera,ES,village,83,Castile and León
Alba de Tormes,ES,village,83,Castile and León
Aivali,TR,medium_town,83,Marmara Region
Finike,TR,small_town,83,Antalya
Valle di Casies - Gsies,IT,village,83,Trentino – Alto Adige/Südtirol
Biograd na Moru,HR,small_town,83,Zadar County
Kalix,SE,small_town,83,Norrbotten County
Bodrum,TR,medium_town,83,Muğla
Panhandle,US,village,83,Texas
Holyoke,US,village,83,Colorado
Greenock,GB,medium_town,83,Inverclyde
Cifuentes,ES,village,83,Castile-La Mancha
Bramberg am Wildkogel,AT,village,83,Salzburg
Lewistown,US,small_town,83,Montana
Hanauma Bay,US,beach,83,Hawaii
Nassereith,AT,village,83,Tirol
Baia delle Zagare,IT,beach,83,Apulia
Barnstable,US,medium_town,83,Massachusetts
Kansas City,US,city,83,Missouri
Lemvig,DK,small_town,83,Central
Atwood,US,village,83,Kansas
Bangor,GB,medium_town,83,County Down
Elkton,US,small_town,83,Maryland
Kopervik,NO,small_town,83,Rogaland
Hot Springs,US,village,83,South Dakota
Torquay,GB,medium_town,83,Torbay
Castrocontrigo,ES,village,83,Castile and León
Alar del Rey,ES,village,83,Castile and León
Camprodon,ES,village,83,Catalonia
Castrocalbón,ES,village,83,Castile and León
Hudiksvall,SE,small_town,83,Gävleborg County
Greve,DK,medium_town,83,Zealand
Volos,GR,medium_town,83,Thessaly
Görele,TR,medium_town,83,Giresun
Barlovento,ES,village,83,Canary Islands
Carrizosa,ES,village,83,Castile-La Mancha
Linz,AT,city,83,Oberösterreich
Au,AT,village,83,Vorarlberg
Carrickfergus,GB,medium_town,83,County Antrim
Bonete,ES,village,83,Castile-La Mancha
Livingston,US,small_town,83,Montana
Alaplı,TR,medium_town,83,Zonguldak
Gerze,TR,small_town,83,Sinop
Alloa,GB,medium_town,83,Clackmannanshire
Ardeşen,TR,medium_town,83,Rize
Delta,US,small_town,83,Colorado
Brennero - Brenner,IT,village,83,Trentino – Alto Adige/Südtirol
Kalispell,US,medium_town,83,Montana
Hugoton,US,village,83,Kansas
Castellar de Santiago,ES,village,83,Castile-La Mancha
Heiligendamm Strand,DE,beach,83,Mecklenburg-Vorpommern
Bend,US,medium_town,83,Oregon
Blackpool,GB,medium_town,83,Borough of Blackpool
Holbrook,US,small_town,83,Arizona
Butte,US,medium_town,83,Montana
Grazalema,ES,village,83,Andalusia
Burgohondo,ES,village,83,Castile and León
Kalamata,GR,medium_town,83,Peloponnese Region
Höganäs,SE,small_town,83,Skåne County
Karlshamn,SE,medium_town,83,Blekinge County
Fort Morgan,US,small_town,83,Colorado
Kimball,US,village,83,Nebraska
Levanger,NO,medium_town,83,Trøndelag
Leoti,US,village,83,Kansas
Jurilovca,RO,small_town,83,Tulcea
Globe,US,small_town,83,Arizona
Lakin,US,village,83,Kansas
Roskilde,DK,medium_town,83,Zealand
Big Timber,US,village,83,Montana
Damp Strand,DE,beach,83,Schleswig-Holstein
Lincoln,US,city,83,Nebraska
Gazipaşa,TR,small_town,83,Antalya
Brigham City,US,small_town,83,Utah
Guadahortuna,ES,village,83,Andalusia
Grimsby,GB,medium_town,83,North East Lincolnshire
Frederikshavn,DK,medium_town,83,North
Esbjerg,DK,medium_town,83,Southern
Ängelholm,SE,medium_town,83,Skåne County
Ironville,US,city,83,Kentucky
Huelma,ES,small_town,83,Andalusia
Trosa,SE,small_town,83,Södermanland County
Murtosa,PT,small_town,83,Aveiro
Jadraque,ES,village,83,Castile-La Mancha
Madison,US,city,83,Wisconsin
Frederikssund,DK,small_town,83,Capital
Korçë,AL,medium_town,83,Korçë County
Honrubia,ES,village,83,Castile-La Mancha
Andretta,IT,village,83,Campania
Gooding,US,village,83,Idaho
Gusinje,ME,village,83,Gusinje Municipality
Fernandina Beach,US,small_town,83,Florida
Titusville,US,medium_town,83,Florida
Lamesa,US,small_town,83,Texas
Bustillo del Páramo,ES,village,83,Castile and León
Køge,DK,medium_town,83,Zealand
Hamilton,US,village,83,Montana
Key Largo,US,small_town,83,Florida
Jaca,ES,small_town,83,Aragon
Larne,GB,small_town,83,County Antrim
Yeste,ES,village,83,Castile-La Mancha
Kragerø,NO,small_town,83,Telemark
Västervik,SE,medium_town,83,Kalmar County
Lillesand,NO,small_town,83,Agder
Galende,ES,village,83,Castile and León
Alcañices,ES,village,83,Castile and León
Alta,NO,small_town,83,Finnmark
Caernarfon,GB,small_town,83,Gwynedd
Greensboro,US,city,83,North Carolina
Chirivel,ES,village,83,Andalusia
Karamürsel,TR,medium_town,83,Kocaeli
Brihuega,ES,village,83,Castile-La Mancha
Boone,US,small_town,83,North Carolina
Cercedilla,ES,small_town,83,Community of Madrid
Bozeman,US,medium_town,83,Montana
Degaña,ES,village,83,Asturias
Sundance,US,village,83,Wyoming
Horche,ES,village,83,Castile-La Mancha
Asker,NO,medium_town,83,Akershus
Harstad,NO,medium_town,83,Troms
Deer Lodge,US,village,83,Montana
Utrillas,ES,village,83,Aragon
Gürgentepe,TR,small_town,83,Ordu
Blackfoot,US,small_town,83,Idaho
Bay Saint Louis,US,small_town,83,Mississippi
Driftwood Beach,US,beach,83,Georgia
Igoumenítsa,GR,small_town,83,Epirus
Larvik,NO,medium_town,83,Vestfold
Holmestrand,NO,small_town,83,Vestfold
Baker City,US,small_town,83,Oregon
Lamar,US,small_town,83,Colorado
Cantalejo,ES,village,83,Castile and León
Bowman,US,village,83,North Dakota
Cambridge,US,small_town,83,Maryland
Arcos de Jalón,ES,village,83,Castile and León
Kramfors,SE,small_town,83,Västernorrland County
Burlington,US,village,83,Colorado
Floydada,US,village,83,Texas
İnebolu,TR,small_town,83,Kastamonu
Florø,NO,small_town,83,Vestland
Cinque Terre Beaches,IT,beach,83,Liguria
Barletta,IT,medium_town,83,Apulia
Eben im Pongau,AT,village,83,Salzburg
Lake Windermere,GB,natural_park,83,England
Anaconda,US,small_town,83,Montana
Elkhart,US,village,83,Kansas
Columbus,US,city,83,Ohio
Cadaqués,ES,village,83,Catalonia
Claude,US,village,83,Texas
Linares de Riofrío,ES,village,83,Castile and León
Jamay,MX,small_town,83,Jalisco
Fethiye,TR,medium_town,83,Muğla
Landskrona,SE,medium_town,83,Skåne County
Bélmez de la Moraleda,ES,village,83,Andalusia
Benalúa de las Villas,ES,village,83,Andalusia
Lake Prespa,MK,natural_park,83,Pelagonia
Liberal,US,medium_town,83,Kansas
Erdemli,TR,medium_town,83,Mersin
Choteau,US,village,83,Montana
Guijuelo,ES,small_town,83,Castile and León
Fillmore,US,village,83,Utah
Kavála,GR,medium_town,83,Eastern Macedonia and Thrace
Twin Falls,US,medium_town,83,Idaho
Achenkirch,AT,village,83,Tirol
Hettinger,US,village,83,North Dakota
Lihue,US,small_town,83,Hawaii
Dolný Kubín,SK,small_town,83,Žilina
Garrafe de Torío,ES,village,83,Castile and León
Erekli,TR,small_town,83,Tekirdağ
Krusevo,MK,small_town,83,Pelagonia
Çeşme,TR,medium_town,83,Aegean Region
Colomera,ES,village,83,Andalusia
Ayr,GB,medium_town,83,South Ayrshire
Haverfordwest,GB,small_town,83,Pembrokeshire
Beach,US,village,83,North Dakota
Cide,TR,small_town,83,Kastamonu
Corbu,RO,small_town,83,Constanța
Ágreda,ES,village,83,Castile and León
Ezcaray,ES,village,83,Rioja
Astoria,US,small_town,83,Oregon
Kanab,US,village,83,Utah
Espinho,PT,medium_town,83,Aveiro
Escucha,ES,village,83,Aragon
American Falls,US,village,83,Idaho
Arévalo,ES,small_town,83,Castile and León
La Rochelle,FR,medium_town,83,Nouvelle-Aquitaine
Bournemouth,GB,medium_town,83,"Bournemouth, Christchurch and Poole"
Santa Marina del Rey,ES,village,83,Castile and León
Belle Fourche,US,small_town,83,South Dakota
Kórinthos,GR,medium_town,83,Peloponnese Region
Fort Collins,US,medium_town,83,Colorado
Aranda de Duero,ES,medium_town,83,Castile and León
La Junta,US,small_town,83,Colorado
Plainview,US,medium_town,83,Texas
Benasque,ES,village,83,Aragon
Vodice,HR,small_town,83,Šibenik-Knin County
Leirvik,NO,small_town,83,Vestland
İyidere,TR,small_town,83,Rize
Jerome,US,small_town,83,Idaho
Ålesund,NO,medium_town,83,Møre og Romsdal
Eisenerz,AT,village,83,Steiermark
Cózar,ES,village,83,Castile-La Mancha
Heringsdorf Strand,DE,beach,83,Mecklenburg-Vorpommern
Zug,CH,medium_town,83,Zug
Dalhart,US,small_town,83,Texas
Çınarcık,TR,small_town,83,Yalova
Horsens,DK,medium_town,83,Central
Canyon,US,small_town,83,Texas
Akron,US,village,83,Colorado
Campillo de Altobuey,ES,village,83,Castile-La Mancha
Cojumatlán de Régules,MX,small_town,83,Michoacán
Hilton Head,US,beach,83,South Carolina
Levelland,US,small_town,83,Texas
Fort Benton,US,village,83,Montana
Carrión de los Condes,ES,village,83,Castile and León
Huete,ES,village,83,Castile-La Mancha
Charleston,US,medium_town,83,South Carolina
Holbæk,DK,medium_town,83,Zealand
Kaanapali Beach,US,beach,83,Hawaii
Hawthorne,US,village,83,Nevada
Espiye,TR,small_town,83,Giresun
Oahu,US,beach,83,Hawaii
Brønnøysund,NO,small_town,83,Nordland
Alpbach,AT,village,83,Tirol
Elko,US,medium_town,83,Nevada
Olang,IT,village,83,Trentino – Alto Adige/Südtirol
Fort Pierce,US,medium_town,83,Florida
Greifswald,DE,medium_town,83,Mecklenburg-Vorpommern
Cervera de Pisuerga,ES,village,83,Castile and León
Akranes,IS,small_town,83,null
Mansilla de las Mulas,ES,village,83,Castile and León
Lake Päijänne,FI,natural_park,83,Central Finland
Dundalk,IE,medium_town,83,County Louth
Brighton,US,medium_town,83,Colorado
Dundee,GB,medium_town,83,Dundee City
Fonfría,ES,village,83,Castile and León
Freila,ES,village,83,Andalusia
Esposende,PT,medium_town,83,Braga
Carrizozo,US,village,83,New Mexico
Kuşadası,TR,medium_town,83,Aydın
Préveza,GR,small_town,83,Epirus
Grangeville,US,village,83,Idaho
Coalville,US,village,83,Utah
Carbonero el Mayor,ES,village,83,Castile and León
Villarejo de Órbigo,ES,village,83,Castile and León
Arco,US,village,83,Idaho
Irvine,GB,medium_town,83,North Ayrshire
Fredericia,DK,medium_town,83,Southern
Darro,ES,village,83,Andalusia
Ivano-Frankivsk,UA,city,83,Ivano-Frankivsk Oblast
Drøbak,NO,small_town,83,Akershus
Alfarnate,ES,village,83,Andalusia
Bradenton,US,medium_town,83,Florida
Hospital de Órbigo,ES,village,83,Castile and León
Briançon,FR,small_town,83,Provence-Alpes-Côte d'Azur
Challis,US,village,83,Idaho
Burns,US,village,83,Oregon
Azambuja,PT,medium_town,83,Lisbon
Brunswick,US,small_town,83,Georgia
Cuéllar,ES,small_town,83,Castile and León
Clayton,US,village,83,New Mexico
Sundsvall,SE,medium_town,83,Västernorrland County
Frailes,ES,village,83,Andalusia
Lake Inari,FI,natural_park,83,Lapland
Praia da Amoreira,PT,beach,83,Faro
Carmel Beach,US,beach,83,California
Ayas,IT,village,83,Aosta Valley
Belfast,US,small_town,83,Maine
Guardo,ES,small_town,83,Castile and León
Kirchberg in Tirol,AT,small_town,83,Tirol
Seminole,US,small_town,83,Texas
Jocotepec,MX,small_town,83,Jalisco
Lovington,US,small_town,83,New Mexico
Jeres del Marquesado,ES,village,83,Andalusia
Cody,US,small_town,83,Wyoming
Riaza,ES,village,83,Castile and León
Jayena,ES,village,83,Andalusia
Hammerfest,NO,small_town,83,Finnmark
North Coast 500,GB,scenic_drive,83,Scotland
Imperial,US,village,83,Nebraska
Póvoa de Varzim,PT,medium_town,83,Porto
Berlanga de Duero,ES,village,83,Castile and León
Inverness,GB,medium_town,83,Highland
Baker,US,village,83,Montana
Kerrville,US,medium_town,83,Texas
La Valle - Wengen,IT,village,83,Trentino – Alto Adige/Südtirol
Cazorla,ES,small_town,83,Andalusia
Trani,IT,medium_town,83,Apulia
Camporrobles,ES,village,83,Valencian Community
Lovelock,US,village,83,Nevada
Bromölla,SE,small_town,83,Skåne County
Georgetown,US,small_town,83,South Carolina
Amarillo,US,medium_town,83,Texas
Garafía,ES,village,83,Canary Islands
Alpera,ES,village,83,Castile-La Mancha
Benassal,ES,village,83,Valencian Community
Farwell,US,village,83,Texas
Campotéjar,ES,village,83,Andalusia
Lourinhã,PT,small_town,83,Lisbon
Nynäshamn,SE,small_town,83,Stockholm County
Kingman,US,medium_town,83,Arizona
Funes - Villnoess,IT,village,83,Trentino – Alto Adige/Südtirol
Çayeli,TR,medium_town,83,Rize
Bad Hofgastein,AT,village,83,Salzburg
Fauske,NO,small_town,83,Nordland
Garden City,US,medium_town,83,Kansas
Grand Junction,US,medium_town,83,Colorado
Fiss,AT,village,83,Tirol
Hommelvik,NO,small_town,83,Trøndelag
Gemlik,TR,medium_town,83,Bursa
Douglas,US,small_town,83,Wyoming
Falkenberg,SE,medium_town,83,Halland County
Cala Rossa,IT,beach,83,Sicily
Colmenar Viejo,ES,medium_town,83,Community of Madrid
Fort Lauderdale,US,medium_town,83,Florida
San Lorenzo de El Escorial,ES,small_town,83,Community of Madrid
Campaspero,ES,village,83,Castile and León
Hørsholm,DK,medium_town,83,Capital
Julesburg,US,village,83,Colorado
Cuevas del Campo,ES,village,83,Andalusia
Aabenraa,DK,small_town,83,Syddanmark
Dimmitt,US,village,83,Texas
Fuentesaúco,ES,village,83,Castile and León
Titisee,DE,beach,83,Baden-Württemberg
Khmelnytskyi,UA,city,83,Khmelnytskyi Oblast
Volda,NO,small_town,83,Møre og Romsdal
Vils,AT,village,83,Tirol
Kristiansund,NO,medium_town,83,Møre og Romsdal
Steinach am Brenner,AT,village,83,Tirol
Navalmanzano,ES,village,83,Castile and León
Aliağa,TR,medium_town,83,Aegean Region
Grenaa,DK,small_town,83,Central
Kranjska Gora,SI,village,83,null
Livorno,IT,medium_town,83,Tuscany
Hailey,US,small_town,83,Idaho
Goodland,US,village,83,Kansas
Chiclana de Segura,ES,village,83,Andalusia
Erdek,TR,medium_town,83,Balıkesir
Goldfield,US,village,83,Nevada
Brandenberg,AT,village,83,Tirol
Calamocha,ES,village,83,Aragon
Kalundborg,DK,small_town,83,Zealand
Alcaraz,ES,village,83,Castile-La Mancha
Catanzaro,IT,medium_town,83,Calabria
Landete,ES,village,83,Castile-La Mancha
Lezuza,ES,village,83,Castile-La Mancha
Baltar,ES,village,83,Galicia
Cádiar,ES,village,83,Andalusia
Cistierna,ES,village,83,Castile and León
Burnsville,US,village,83,North Carolina
Helsingborg,SE,medium_town,83,Skåne County
Lake Tahoe,US,natural_park,83,California
Jefferson,US,village,83,North Carolina
Duchesne,US,village,83,Utah
Cantalpino,ES,village,83,Castile and León
Ayancık,TR,small_town,83,Sinop
Lech,AT,village,83,Vorarlberg
Hereford,US,small_town,83,Texas
Beypazarı,TR,medium_town,83,Ankara
Lake Skadar,ME,natural_park,83,Bar
Anamur,TR,medium_town,83,Mersin
Donostia / San Sebastián,ES,medium_town,83,Basque Country
Basin,US,village,83,Wyoming
Cabeza la Vaca,ES,village,83,Extremadura
Vordingborg,DK,small_town,83,Zealand
Assens,DK,small_town,83,Syddanmark
Everett,US,medium_town,83,Washington
Galveston,US,medium_town,83,Texas
Calgary,CA,city,83,Alberta
Eureka,US,medium_town,83,California
Duruelo de la Sierra,ES,village,83,Castile and León
Vilminore di Scalve,IT,village,83,Lombardy
Kolding,DK,medium_town,83,Syddanmark
Hardin,US,village,83,Montana
Ünye,TR,medium_town,83,Ordu
Idaho Falls,US,medium_town,83,Idaho
Logan,US,medium_town,83,Utah
Dikili,TR,small_town,83,Aegean Region
Cella,ES,village,83,Aragon
Vordernberg,AT,village,83,Steiermark
Priego,ES,village,83,Castile-La Mancha
Barruelo de Santullán,ES,village,83,Castile and León
Solosancho,ES,village,83,Castile and León
Boltenhagen Strand,DE,beach,83,Mecklenburg-Vorpommern
Sautens,AT,village,83,Tirol
Lerma,ES,village,83,Castile and León
Saint Johns,US,village,83,Arizona
Clarendon,US,village,83,Texas
Vinuesa,ES,village,83,Castile and León
Crosbyton,US,village,83,Texas
Boulder,US,medium_town,83,Colorado
Grant,US,village,83,Nebraska
Huéneja,ES,village,83,Andalusia
Boñar,ES,village,83,Castile and León
Cadiz,ES,medium_town,83,Andalusia
Ragusa,IT,medium_town,82,Sicily
Caltanissetta,IT,medium_town,82,Sicily
Las Vegas,US,city,81,Nevada
Fort Davis,US,village,81,Texas
Nationalpark Hardangervidda,NO,national_park,81,Vestland
Zakopane,PL,medium_town,81,Lesser Poland Voivodeship
El Paso,US,city,81,Texas
Stralsund,DE,medium_town,81,Mecklenburg-Vorpommern
Alpine,US,small_town,81,Texas
Cranston,CA,medium_town,81,Alberta
Chestermere,CA,medium_town,81,Alberta
Cerva,IT,village,80,Calabria
Ungheni,MD,medium_town,80,Ungheni
Cardiff,GB,city,80,Cardiff
Yreka,US,small_town,80,California
Rapla,EE,small_town,80,Rapla County
Magdeburg,DE,city,80,Sachsen-Anhalt
Soroca,MD,medium_town,80,Soroca
Monghidoro,IT,village,80,Emilia-Romagna
Lamía,GR,medium_town,80,Central Greece
Çorum,TR,city,80,Çorum
Paide,EE,small_town,80,Järva County
Brčko,BA,medium_town,80,Brčko District
Slatina,RO,medium_town,80,Olt
Tatvan,TR,medium_town,80,Bitlis
Bauska,LV,small_town,80,null
Zwettl Stadt,AT,village,80,Niederösterreich
Sacedón,ES,village,80,Castile-La Mancha
Sfax,TN,city,80,Sfax
Verbania,IT,medium_town,80,Piedmont
Bordeaux,FR,city,80,Nouvelle-Aquitaine
Middelburg,NL,medium_town,80,Zeeland
Pescopagano,IT,village,80,Basilicata
Põlva,EE,small_town,80,Põlva County
Bursa,TR,city,80,Bursa
Sidi Bouzid,TN,medium_town,80,Sidi Bouzid
Gdynia,PL,city,80,Pommern
Daugavpils,LV,medium_town,80,null
Bålsta,SE,small_town,80,Uppsala County
Murcia,ES,city,80,Murcia
Pleyne,IT,village,80,Piedmont
Konya,TR,city,80,Konya
Bogdanci,MK,small_town,80,Southeastern
Buzău,RO,medium_town,80,Buzău
Barisciano,IT,village,80,L'Aquila
Tulcea,RO,medium_town,80,Tulcea
Verkhovyna,UA,small_town,80,Ivano-Frankivsk Oblast
Lillestrøm,NO,medium_town,80,Akershus
Bilecik,TR,medium_town,80,Bilecik
Havre,US,small_town,80,Montana
Enköping,SE,medium_town,80,Uppsala County
Muğla,TR,medium_town,80,Muğla
Marrakesh,MA,city,80,Marrakech-Safi
Sursee,CH,small_town,80,Luzern
Bolu,TR,medium_town,80,Bolu
Rodez,FR,medium_town,80,Occitania
Vukovar,HR,medium_town,80,Vukovar-Srijem County
Vipiteno,IT,small_town,80,Trentino – Alto Adige/Südtirol
Haskovo,BG,medium_town,80,Haskovo
Aprica,IT,village,80,Lombardy
Sierre,CH,small_town,80,Wallis
Roncone,IT,village,80,Trentino – Alto Adige/Südtirol
Abbadia San Salvatore,IT,small_town,80,Tuscany
Watford City,US,small_town,80,North Dakota
Somerset,US,small_town,80,Pennsylvania
Vigo di Fassa,IT,village,80,Trentino – Alto Adige/Südtirol
Bersezio,IT,village,80,Piedmont
Gap,FR,medium_town,80,Provence-Alpes-Côte d'Azur
Santa Fe,US,medium_town,80,New Mexico
Oujda,MA,city,80,Oriental
Hall in Tirol,AT,small_town,80,Tirol
Weiser,US,small_town,80,Idaho
Sauze d'Oulx,IT,village,80,Piedmont
Serina,IT,village,80,Lombardy
Aydin,TR,medium_town,80,Aydın
Berriozábal,MX,medium_town,79,Chiapas
Sayula,MX,medium_town,79,Jalisco
Xichú,MX,village,79,Guanajuato
Miahuatlán de Porfirio Díaz,MX,medium_town,79,Oaxaca
Teocaltiche,MX,medium_town,79,Jalisco
Unión Juárez,MX,village,79,Chiapas
Santo Domingo Huehuetlán,MX,village,79,Puebla
Guachinango,MX,village,79,Jalisco
Las Margaritas,MX,medium_town,79,Chiapas
Malinalco,MX,small_town,79,Mexico
Bella Vista,MX,village,79,Chiapas
Cualác,MX,village,79,Guerrero
Ixtapa,MX,small_town,79,Chiapas
Santiago Tangamandapio,MX,small_town,79,Michoacán
San Bartolo Tutotepec,MX,village,79,Hidalgo
Hueytamalco,MX,small_town,79,Puebla
Zitlala,MX,small_town,79,Guerrero
Ahuacatlán,MX,small_town,79,Nayarit
San Juan Guelavía,MX,village,79,Oaxaca
Tanhuato de Guerrero,MX,small_town,79,Michoacán
Victoria,MX,village,79,Guanajuato
Atotonilco el Alto,MX,medium_town,79,Jalisco
El Bosque,MX,small_town,79,Chiapas
Rayón,MX,small_town,79,San Luis Potosí
Montecristo,MX,village,79,Chiapas
Tototlán,MX,small_town,79,Jalisco
Colotlán,MX,small_town,79,Jalisco
Pilcaya,MX,small_town,79,Guerrero
Chilón,MX,small_town,79,Chiapas
Cedral,MX,small_town,79,San Luis Potosí
Viesca,MX,village,79,Coahuila
Buenaventura,MX,small_town,79,Chihuahua
San Bartolomé Loxicha,MX,village,79,Oaxaca
San Martín Tilcajete,MX,village,79,Oaxaca
Santa María Zoquitlán,MX,village,79,Oaxaca
Zapotitlán,MX,village,79,Puebla
San Jerónimo Xayacatlán,MX,village,79,Puebla
Tecalitlán,MX,small_town,79,Jalisco
Richmond,US,medium_town,78,Indiana
Shoreline,US,medium_town,78,Washington
Portage,US,small_town,78,Wisconsin
Frankfort,US,small_town,78,Indiana
Vilanova i la Geltrú,ES,medium_town,78,Catalonia
Peterlee,GB,medium_town,78,County Durham
Krasyliv,UA,small_town,78,Khmelnytskyi Oblast
Mafra,PT,small_town,78,Lisbon
Hartford City,US,small_town,78,Indiana
Pontiac,US,medium_town,78,Michigan
Barrow in Furness,GB,medium_town,78,Westmorland and Furness
Auburn,US,small_town,78,Indiana
Morgantown,US,medium_town,78,West Virginia
Decatur,US,small_town,78,Texas
Covington,US,small_town,78,Georgia
South Bend,US,medium_town,78,Indiana
Hammamet,TN,medium_town,78,Nabeul
Harrodsburg,US,small_town,78,Kentucky
New Castle,US,medium_town,78,Pennsylvania
Starokostyantyniv,UA,medium_town,78,Khmelnytskyi Oblast
Venice,US,medium_town,78,California
Ionia,US,small_town,78,Michigan
Indianola,US,small_town,78,Iowa
Saguenay,CA,medium_town,78,Quebec
Volochysk,UA,small_town,78,Khmelnytskyi Oblast
Fermo,IT,small_town,78,Marche
Chortkiv,UA,medium_town,78,null
Goes,NL,medium_town,78,Zeeland
Thief River Falls,US,small_town,78,Minnesota
Mankato,US,medium_town,78,Minnesota
Concord,US,medium_town,78,North Carolina
Sondrio,IT,small_town,78,Lombardy
Hillsboro,US,small_town,78,Ohio
Meadville,US,small_town,78,Pennsylvania
Denton,US,medium_town,78,Texas
Adrian,US,medium_town,78,Michigan
Atamaría,ES,medium_town,78,Murcia
Tulum,MX,small_town,78,Quintana Roo
Waterloo,US,medium_town,78,Iowa
Dunfermline,GB,medium_town,78,Fife
Belluno,IT,medium_town,78,Veneto
Redmond,US,medium_town,78,Oregon
Valley City,US,small_town,78,North Dakota
Raseborg,FI,medium_town,78,Uusimaa
Troy,US,medium_town,78,Ohio
Comonfort,MX,medium_town,78,Guanajuato
Lebanon,US,small_town,78,Kentucky
Saint Cloud,US,medium_town,78,Minnesota
Painesville,US,small_town,78,Ohio
Cutler Bay,US,medium_town,78,Florida
Marina di Ardea-Tor San Lorenzo,IT,medium_town,78,Lazio
Cambridge,US,small_town,78,Minnesota
Maryville,US,small_town,78,Missouri
Noblesville,US,medium_town,78,Indiana
Nationalpark Sächsische Schweiz,DE,national_park,78,Sachsen
Pendleton,US,small_town,78,Oregon
Brainerd,US,small_town,78,Minnesota
Spartanburg,US,medium_town,78,South Carolina
Findlay,US,medium_town,78,Ohio
Chickasha,US,small_town,78,Oklahoma
Bartlesville,US,medium_town,78,Oklahoma
Richland Center,US,small_town,78,Wisconsin
Atlantic,US,small_town,78,Iowa
Lincolnton,US,small_town,78,North Carolina
Penn Yan,US,small_town,78,New York
St Austell,GB,medium_town,78,Cornwall
Versailles,US,small_town,78,Kentucky
Paola,US,small_town,78,Kansas
Bergen op Zoom,NL,medium_town,78,North Brabant
Berezhany,UA,small_town,78,Ternopil Oblast
Antibes,FR,medium_town,78,Provence-Alpes-Côte d'Azur
Geneseo,US,small_town,78,New York
Jackson,US,small_town,78,Ohio
Burnham-on-Sea,GB,medium_town,78,Somerset
Chebba,TN,medium_town,78,Mahdia
Hyères,FR,medium_town,78,Provence-Alpes-Côte d'Azur
Didim,TR,medium_town,78,Aydın
Columbus,US,medium_town,78,Nebraska
Tulchyn,UA,small_town,78,Vinnytsia Oblast
Ellensburg,US,small_town,78,Washington
Moknine,TN,medium_town,78,Monastir
Ephrata,US,small_town,78,Washington
Torrance,US,medium_town,78,California
Antigo,US,small_town,78,Wisconsin
Mistretta,IT,village,77,Sicily
Heroica Caborca,MX,medium_town,76,Sonora
Metlaoui,TN,medium_town,76,Gafsa
Mapimí,MX,small_town,76,Durango
Desert Hot Springs,US,medium_town,76,California
Monclova,MX,city,76,Coahuila
Görisried,DE,village,76,Bayern
Kolbingen,DE,village,76,Baden-Württemberg
San Buenaventura,MX,medium_town,76,Coahuila
Maricopa,US,medium_town,76,Arizona
Janos,MX,village,76,Chihuahua
Aquiles Serdán,MX,small_town,76,Chihuahua
San Luis,US,medium_town,76,Arizona
Wildsteig,DE,village,76,Bayern
Palm Desert,US,medium_town,76,California
San Luis del Cordero,MX,village,76,Durango
Bismil,TR,medium_town,75,Diyarbakır
Szerencs,HU,small_town,75,North Hungary
Dungannon,GB,small_town,75,County Tyrone
Bedonia,IT,village,75,Emilia-Romagna
Alba Iulia,RO,medium_town,75,Alba
Pásztó,HU,small_town,75,North Hungary
Alingsås,SE,medium_town,75,Västra Götaland County
Sfântu Gheorghe,RO,medium_town,75,Covasna
Sânsimion,RO,village,75,Harghita
Oyonnax,FR,medium_town,75,Auvergne-Rhône-Alpes
Carmarthen,GB,small_town,75,Carmarthenshire
Sheffield,GB,city,75,South Yorkshire
Pullman,US,medium_town,75,Washington
Subcetate,RO,village,75,Harghita
Akseki,TR,small_town,75,Antalya
Carlow,IE,medium_town,75,County Carlow
Międzychód,PL,small_town,75,Greater Poland Voivodeship
Cărpiniş,RO,small_town,75,Timiș
Stenløse,DK,small_town,75,Capital
Pułtusk,PL,small_town,75,Masovian Voivodeship
Târgu Cărbuneşti,RO,small_town,75,Gorj
Slough,GB,medium_town,75,England
Saint Leonhard in Passeier,IT,village,75,Trentino – Alto Adige/Südtirol
Mezőtúr,HU,small_town,75,North Great Plain
Postojna,SI,small_town,75,null
Ioánnina,GR,medium_town,75,Epirus
Kragujevac,RS,medium_town,75,Central Serbia
Sturno,IT,village,75,Campania
Cardeña,ES,village,75,Andalusia
Đakovo,HR,small_town,75,Osijek-Baranja County
Ruthin,GB,small_town,75,Denbighshire
Preston,GB,city,75,Lancashire
Selendi,TR,small_town,75,Manisa
Katowice,PL,city,75,Silesian Voivodeship
Konče,MK,village,75,null
Vătava,RO,village,75,Mureș
Atkaracalar,TR,small_town,75,Çankırı
Bitola,MK,medium_town,75,null
Lipkovo,MK,medium_town,75,null
Livadeiá,GR,medium_town,75,Central Greece
