ort,cc,place_type,attractiveness_score,state_name
Gent,BE,city,90,Gent
Lac de Sainte-Croix,FR,nature_reserve,90,Provence-Alpes-Côte d'Azur
Bari,IT,city,90,Apulia
Ljubljana,SI,city,90,null
Çıralı Plajı,TR,beach,90,Antalya
Berlin,DE,city,90,Berlin
Zermatt,CH,small_town,90,Wallis
Weißensee,AT,nature_reserve,90,Carinthia
Lake Lugano,CH,nature_reserve,90,Ticino
Porto,PT,city,90,Porto
Interlaken,CH,small_town,90,Bern
Skopje,MK,city,90,City of Skopje
Flathead Lake,US,nature_reserve,90,Montana
Lago d'Orta,IT,nature_reserve,90,Piedmont
Plage d'Agadir,MA,beach,90,Souss-Massa
Zürich,CH,city,90,Zürich
Braga,PT,medium_town,90,Braga
Starnberger See,DE,nature_reserve,90,Bavaria
Casablanca,MA,city,90,Grand Casablanca-Settat
Sarajevo,BA,city,90,City of Sarajevo
Attersee,AT,nature_reserve,90,Upper Austria
Dresden,DE,city,90,Sachsen
Mexico City,MX,city,90,Mexico City
Lake Balaton,HU,nature_reserve,90,Somogy
Lake Geneva,CH,nature_reserve,90,Vaud
Sofia,BG,city,90,Sofia-City
Cabo de Gata,ES,natural_park,90,Andalusia
Twin Lakes,US,nature_reserve,89,Colorado
Lago di Iseo,IT,nature_reserve,89,Lombardy
Woolacombe Beach,GB,beach,88,Devon
Annapolis,US,medium_town,88,Maryland
Iqaluit,CA,small_town,88,Nunavut
Rize,TR,medium_town,88,Rize
Dyuni Beach,BG,beach,88,Burgas
Ermoúpolis,GR,small_town,88,South Aegean
Molde,NO,medium_town,88,Møre og Romsdal
Kristiansand,NO,medium_town,88,Agder
Matera,IT,medium_town,88,Basilicata
Rijeka,HR,medium_town,88,Primorje-Gorski Kotar County
Dueodde Beach,DK,beach,88,Hovedstaden
İzmit,TR,medium_town,88,Kocaeli
Viana do Castelo,PT,medium_town,88,Viana do Castelo
Loch Lomond,GB,natural_park,88,Scotland
Boundary Waters,US,natural_park,88,Minnesota
Selfoss,IS,small_town,88,Sveitarfélagið Árborg
Bar,ME,small_town,88,Bar Municipality
Arendal,NO,medium_town,88,Agder
Makarska,HR,small_town,88,Split-Dalmatia County
Härnösand,SE,medium_town,88,Västernorrland County
Çanakkale,TR,medium_town,88,Canakkale
Dunnet Bay,GB,beach,88,Highland
Providence,US,medium_town,88,Rhode Island
Halmstad,SE,medium_town,88,Halland County
Neuschwanstein,DE,mountain,88,Bayern
Faro,PT,medium_town,88,Faro
Plage d'Antibes,FR,beach,88,Provence-Alpes-Côte d'Azur
Vejle,DK,medium_town,88,Syddanmark
Karlskrona,SE,medium_town,88,Blekinge County
Trapani,IT,medium_town,88,Sicily
Kokkola,FI,medium_town,88,Central Ostrobothnia
Puebla de Sanabria,ES,village,88,Castile and León
Aalborg,DK,medium_town,88,North
Tenby Beach,GB,beach,88,Pembrokeshire
Bodø,NO,medium_town,88,Nordland
Tekirdağ,TR,medium_town,88,Tekirdağ
Sopot,PL,medium_town,88,Pomeranian Voivodeship
Lake Minnewanka,CA,natural_park,88,Alberta
Gabès,TN,medium_town,88,Gabès
Monastir,TN,medium_town,88,Monastir
Aspen,US,small_town,88,Colorado
Black Lake Durmitor,ME,natural_park,88,Žabljak
Pátra,GR,medium_town,88,Western Greece
Ross Lake,US,natural_park,88,Washington
Nyköping,SE,medium_town,88,Södermanland County
Whitby Beach,GB,beach,88,North Yorkshire
Vaasa,FI,medium_town,88,Ostrobothnia
Ancona,IT,medium_town,88,Marche
Akureyri,IS,small_town,88,Akureyrarbær
Stavanger,NO,medium_town,88,Rogaland
Tivat,ME,small_town,88,Tivat Municipality
Two Jack Lake,CA,natural_park,88,Alberta
Kalmar,SE,medium_town,88,Kalmar County
Yalova,TR,medium_town,88,Yalova
Ceuta,ES,medium_town,88,Ceuta
Aveiro,PT,medium_town,88,Aveiro
Liepāja,LV,medium_town,88,null
Drammen,NO,medium_town,88,Buskerud
Luleå,SE,medium_town,88,Norrbotten County
Albena Beach,BG,beach,88,Varna
Zonguldak,TR,medium_town,88,Zonguldak
Siena,IT,medium_town,88,Tuscany
Lake Ohrid,MK,natural_park,88,Southwest
Mahdia,TN,medium_town,88,Mahdia
Honolulu,US,city,88,Hawaii
Kluane Lake,CA,natural_park,88,Yukon
Herceg Novi,ME,small_town,88,Herceg Novi Municipality
Santander,ES,medium_town,88,Cantabria
Tromsø,NO,medium_town,88,Troms
Plage de Carnac,FR,beach,88,Bretagne
Zadar,HR,medium_town,88,Zadar County
Melilla,ES,medium_town,88,Melilla
Jūrmala,LV,medium_town,88,null
Pärnu,EE,medium_town,88,Pärnu County
Gävle,SE,medium_town,88,Gävleborg County
Budva,ME,small_town,88,Budva Municipality
Haapsalu,EE,small_town,88,Lääne County
Šibenik,HR,medium_town,88,Šibenik-Knin County
Tønsberg,NO,medium_town,88,Vestfold
Lagos,PT,medium_town,88,Faro
South Beach,US,beach,88,Florida
Taos,US,small_town,88,New Mexico
Nabeul,TN,medium_town,88,Nabeul
Galway,IE,medium_town,88,County Galway
Ventspils,LV,medium_town,88,null
Nantucket,US,small_town,88,Massachusetts
Bizerta,TN,medium_town,88,Bizerte
Split,HR,medium_town,88,Split-Dalmatia County
Olympia,US,medium_town,88,Washington
Giresun,TR,medium_town,88,Giresun
Fanø Beach,DK,beach,88,Syddanmark
Dubrovnik,HR,medium_town,88,Dubrovnik-Neretva County
Redfish Lake,US,natural_park,88,Idaho
Zakynthos,GR,small_town,88,Ioanian Islands
Siracusa,IT,medium_town,88,Sicily
Klaipėda,LT,medium_town,88,Klaipėda County
Sandwood Bay,GB,beach,88,Highland
Vlorë,AL,medium_town,88,Vlorë County
Leigh Lake,US,natural_park,88,Wyoming
Izola,SI,small_town,88,null
Mali Lošinj,HR,small_town,88,Primorje-Gorski Kotar County
Lezhë,AL,small_town,88,Lezhë County
Sinop,TR,medium_town,88,Sinop
Blåvand Beach,DK,beach,88,Syddanmark
Durrës,AL,medium_town,88,Durrës County
Collado-Villalba,ES,medium_town,88,Community of Madrid
Klitmøller Beach,DK,beach,88,Midtjylland
Ulcinj,ME,small_town,88,Ulcinj Municipality
Gorges du Verdon,FR,nature_reserve,87,Provence-Alpes-Côte d'Azur
Playa de los Muertos,ES,beach,87,Andalusia
Enna,IT,medium_town,87,Sicily
Lake Tenaya,US,natural_park,87,California
Pearl City,US,medium_town,86,Hawaii
Glendale,US,city,86,Arizona
Kahului,US,medium_town,86,Hawaii
Playa de Monsul,ES,beach,86,Andalucía
Zambujeira do Mar,PT,beach,86,Beja
Rakitovo,BG,small_town,86,Pazardzhik
Dospat,BG,village,86,Smolyan
Sarnitsa,BG,village,86,Pazardzhik
Kinbasket Lake,CA,nature_reserve,86,British Columbia
Penedono,PT,village,86,Viseu
Mesa,US,city,86,Arizona
Guelmim,MA,medium_town,86,Guelmim-Oued Noun
Tozeur,TN,medium_town,86,Tozeur
Ruby Beach,US,beach,86,Washington
Karpenísi,GR,small_town,86,Central Greece
Ersekë,AL,small_town,86,Korçë County
Cagliari,IT,medium_town,86,Sardinia
Cozumel,MX,medium_town,86,Quintana Roo
Ajaccio,FR,medium_town,86,Corsica
Praia do Barril,PT,beach,86,Faro
St. John's,CA,medium_town,86,Newfoundland and Labrador
Cumberland Island Beach,US,beach,86,Georgia
Cannon Beach,US,beach,86,Oregon
Labunista,MK,small_town,86,Southwestern
Batak,BG,village,86,Pazardzhik
Schwangau,DE,village,86,Bayern
Biarritz Grande Plage,FR,beach,86,Nouvelle-Aquitaine
Kailua,US,medium_town,86,Hawaii
Trolltunga,NO,nature_reserve,86,Vestland
Borino,BG,village,86,Smolyan
Snoqualmie Falls,US,nature_reserve,86,Washington
Tataouine,TN,medium_town,86,Tataouine
Vila Nova de Paiva,PT,small_town,86,Viseu
Banff,CA,small_town,86,Alberta
Gafsa,TN,medium_town,86,Gafsa
Corfu,GR,medium_town,86,Ioanian Islands
Kebili,TN,medium_town,86,Kébili
Playa de Torimbia,ES,beach,85,Asturias
Kuopio,FI,medium_town,85,North Savo
Yellowknife,CA,medium_town,85,Northwest Territories
Mono Lake,US,nature_reserve,85,California
Plage de Pampelonne,FR,beach,85,Provence-Alpes-Côte d'Azur
Lake Plastiras,GR,nature_reserve,85,Thessaly
Vänern,SE,nature_reserve,85,Västra Götaland
Jyväskylä,FI,medium_town,85,Central Finland
Lac du Bourget,FR,nature_reserve,85,Auvergne-Rhône-Alpes
Linköping,SE,medium_town,85,Östergötland County
Plazhi i Gjirit,AL,beach,85,Vlorë County
Bregenz,AT,medium_town,85,Vorarlberg
Tampere,FI,city,85,Pirkanmaa
Mikkeli,FI,medium_town,85,South Savo
Lake Champlain,US,nature_reserve,85,Vermont
Steinkjer,NO,small_town,85,Trøndelag
Vättern,SE,nature_reserve,85,Östergötland
Moosehead Lake,US,nature_reserve,85,Maine
Rügen Strand,DE,beach,85,Mecklenburg-Vorpommern
Loch Ness,GB,nature_reserve,85,Scotland
Lillehammer,NO,medium_town,85,Innlandet
Karlstad,SE,medium_town,85,Värmland County
Lausanne,CH,medium_town,85,Waadt
Ohrid,MK,medium_town,85,Southwestern
Lake Placid,US,nature_reserve,85,New York
Voss,NO,small_town,85,Vestland
Toronto,CA,city,85,Ontario
Kajaani,FI,medium_town,85,Kainuu
Digne-les-Bains,FR,small_town,85,Provence-Alpes-Côte d'Azur
Hel Peninsula Beach,PL,beach,85,Puck County
Wildcat Beach,US,beach,85,California
Lahti,FI,medium_town,85,Päijät-Häme
Pogradec,AL,medium_town,85,Korçë County
Jönköping,SE,medium_town,85,Jönköping County
Moutier,CH,small_town,85,Jura
Lacul Rosu,RO,nature_reserve,85,Harghita
Cambridge,GB,medium_town,85,Cambridgeshire
Genève,CH,city,85,Genf
Going-to-the-Sun Road,US,scenic_drive,85,Montana
Sawtooth Lake,US,nature_reserve,85,Idaho
Bologna,IT,city,85,Emilia-Romagna
Windsor,CA,city,85,Ontario
Praia da Cordoama,PT,beach,85,Faro
Loch Katrine,GB,nature_reserve,85,Scotland
Transfagarasan,RO,scenic_drive,85,Sibiu
Lake Mead,US,nature_reserve,85,Nevada
Lake Michigan,US,nature_reserve,85,Michigan
Sarpsborg,NO,medium_town,85,Østfold
Atlantic Road,NO,scenic_drive,85,Møre og Romsdal
Convict Lake,US,nature_reserve,85,California
Lofoten Road E10,NO,scenic_drive,85,Nordland
Blue Mesa Reservoir,US,nature_reserve,85,Colorado
Kazimierz Dolny,PL,village,85,Lublin Voivodeship
St. Peter-Ording Strand,DE,beach,85,Schleswig-Holstein
Pyramid Lake,US,nature_reserve,85,Nevada
Lake Siljan,SE,nature_reserve,85,Dalarna
Västerås,SE,medium_town,85,Västmanland County
